title_x,year,main_genre,director,top_actors,budget,revenue,popularity,vote_average,runtime,success,decade
Avatar,2009.0,Action,James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",237000000,2787965087,150.437577,7.2,162.0,1,2000.0
Pirates of the Caribbean: At World's End,2007.0,Adventure,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",300000000,961000000,139.082615,6.9,169.0,1,2000.0
Spectre,2015.0,Action,Sam Mendes,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",245000000,880674609,107.376788,6.3,148.0,1,2010.0
The Dark Knight Rises,2012.0,Action,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",250000000,1084939099,112.31295,7.6,165.0,1,2010.0
John Carter,2012.0,Action,Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",260000000,284139100,43.926995,6.1,132.0,1,2010.0
Spider-Man 3,2007.0,Fantasy,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",258000000,890871626,115.699814,5.9,139.0,1,2000.0
Tangled,2010.0,Animation,Byron Howard,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",260000000,591794936,48.681969,7.4,100.0,1,2010.0
Avengers: Age of Ultron,2015.0,Action,Joss Whedon,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",280000000,1405403694,134.279229,7.3,141.0,1,2010.0
Harry Potter and the Half-Blood Prince,2009.0,Adventure,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",250000000,933959197,98.885637,7.4,153.0,1,2000.0
Batman v Superman: Dawn of Justice,2016.0,Action,Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",250000000,873260194,155.790452,5.7,151.0,1,2010.0
Superman Returns,2006.0,Adventure,Bryan Singer,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",270000000,391081192,57.925623,5.4,154.0,1,2000.0
Quantum of Solace,2008.0,Adventure,Marc Forster,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",200000000,586090727,107.928811,6.1,106.0,1,2000.0
Pirates of the Caribbean: Dead Man's Chest,2006.0,Adventure,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",200000000,1065659812,145.847379,7.0,151.0,1,2000.0
The Lone Ranger,2013.0,Action,Gore Verbinski,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",255000000,89289910,49.046956,5.9,149.0,0,2010.0
Man of Steel,2013.0,Action,Zack Snyder,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",225000000,662845518,99.398009,6.5,143.0,1,2010.0
The Chronicles of Narnia: Prince Caspian,2008.0,Adventure,Andrew Adamson,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",225000000,419651413,53.978602,6.3,150.0,1,2000.0
The Avengers,2012.0,Science Fiction,Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",220000000,1519557910,144.448633,7.4,143.0,1,2010.0
Pirates of the Caribbean: On Stranger Tides,2011.0,Adventure,Rob Marshall,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",380000000,1045713802,135.413856,6.4,136.0,1,2010.0
Men in Black 3,2012.0,Action,Barry Sonnenfeld,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",225000000,624026776,52.035179,6.2,106.0,1,2010.0
The Hobbit: The Battle of the Five Armies,2014.0,Action,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",250000000,956019788,120.965743,7.1,144.0,1,2010.0
The Amazing Spider-Man,2012.0,Action,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",215000000,752215857,89.866276,6.5,136.0,1,2010.0
Robin Hood,2010.0,Action,Ridley Scott,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",200000000,310669540,37.668301,6.2,140.0,1,2010.0
The Hobbit: The Desolation of Smaug,2013.0,Adventure,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",250000000,958400000,94.370564,7.6,161.0,1,2010.0
The Golden Compass,2007.0,Adventure,Chris Weitz,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",180000000,372234864,42.990906,5.8,113.0,1,2000.0
King Kong,2005.0,Adventure,Peter Jackson,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",207000000,550000000,61.22601,6.6,187.0,1,2000.0
Titanic,1997.0,Drama,James Cameron,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",200000000,1845034188,100.025899,7.5,194.0,1,1990.0
Captain America: Civil War,2016.0,Adventure,Anthony Russo,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",250000000,1153304495,198.372395,7.1,147.0,1,2010.0
Battleship,2012.0,Thriller,Peter Berg,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",209000000,303025485,64.928382,5.5,131.0,1,2010.0
Jurassic World,2015.0,Action,Colin Trevorrow,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",150000000,1513528810,418.708552,6.5,124.0,1,2010.0
Skyfall,2012.0,Action,Sam Mendes,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",200000000,1108561013,93.004993,6.9,143.0,1,2010.0
Spider-Man 2,2004.0,Action,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",200000000,783766341,35.149586,6.7,127.0,1,2000.0
Iron Man 3,2013.0,Action,Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",200000000,1215439994,77.68208,6.8,130.0,1,2010.0
Alice in Wonderland,2010.0,Family,Tim Burton,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",200000000,1025491110,78.530105,6.4,108.0,1,2010.0
